NS,NC,sensors,computers,Ibin_1,Ibin_2,Ibin_3,Ibin_4,Ibin_5,Ibin_6,Ibin_7,Ibin_8,Ibin_9,m,R,MTTF,Nlinks,N9
2,2,120,230,49,48,48,49,,,,,,33,0.999997621,420361.8311,2,5.623623792
2,2,120,230,49,49,48,49,,,,,,33,0.99999822,561917.2127,3,5.749672722
2,2,120,230,49,48,49,49,,,,,,33,0.999997821,458866.6488,3,5.661686967
2,2,120,230,49,49,49,48,,,,,,33,0.99999812,532033.2522,3,5.725939185
2,2,120,230,49,49,49,49,,,,,,33,0.99999842,632910.9403,4,5.801342946
2,2,120,330,48,49,49,49,,,,,,38,0.99999826,574824.4657,3,5.759535622
2,2,120,330,49,48,48,49,,,,,,38,0.999997961,490363.8263,2,5.690518868
2,2,120,330,49,49,48,49,,,,,,38,0.99999826,574824.4658,3,5.759535622
2,2,120,330,49,48,49,49,,,,,,38,0.99999816,543584.1143,3,5.735267156
2,2,120,330,49,49,49,49,,,,,,38,0.99999846,649350.1746,4,5.812479296
2,2,130,110,48,49,49,49,,,,,,27,0.999997751,444690.9953,3,5.648058824
2,2,130,110,49,48,48,49,,,,,,27,0.999996253,266915.2346,2,5.426374176
2,2,130,110,49,49,48,49,,,,,,27,0.999997751,444690.9953,3,5.648058824
2,2,130,110,49,48,49,49,,,,,,27,0.999996752,307904.973,3,5.488417409
2,2,130,110,49,49,49,49,,,,,,27,0.99999825,571428.3163,4,5.756962137
2,2,130,120,48,49,49,48,,,,,,29,0.999997752,444809.6179,2,5.648174657
2,2,130,120,48,49,49,49,,,,,,29,0.999998351,606409.2511,3,5.782766176
2,2,130,120,49,48,48,49,,,,,,29,0.999997152,351104.5663,2,5.545437096
2,2,130,120,49,49,48,49,,,,,,29,0.999998651,741014.6908,3,5.869827111
2,2,130,120,49,48,49,49,,,,,,29,0.999997351,377550.3278,3,5.576975427
2,2,130,120,49,49,49,48,,,,,,29,0.999998251,571722.1001,3,5.75718536
2,2,130,120,49,49,49,49,,,,,,29,0.99999885,869564.9448,4,5.939302273
2,2,130,130,48,49,49,48,,,,,,34,0.999998251,571852.8277,2,5.757284653
2,2,130,130,48,49,49,49,,,,,,34,0.999998551,690059.1901,3,5.838886659
2,2,130,130,49,48,48,49,,,,,,34,0.999997451,392356.3647,2,5.593681255
2,2,130,130,49,49,48,49,,,,,,34,0.99999895,952607.2638,3,5.978914117
2,2,130,130,49,48,49,49,,,,,,34,0.999997551,408337.7675,3,5.611020082
2,2,130,130,49,49,49,48,,,,,,34,0.99999875,800287.6037,3,5.903246361
2,2,130,130,49,49,49,49,,,,,,34,0.99999905,1052631.246,4,6.022276463
2,2,130,220,48,49,49,49,,,,,,31,0.99999889,901208.9231,3,5.954825724
2,2,130,220,49,48,48,49,,,,,,31,0.999998291,585109.5767,2,5.767237578
2,2,130,220,49,49,48,49,,,,,,31,0.99999889,901208.923,3,5.954825724
2,2,130,220,49,48,49,49,,,,,,31,0.999998491,662488.0719,3,5.821178391
2,2,130,220,49,49,49,49,,,,,,31,0.99999909,1098900.744,4,6.040958665
2,2,130,230,48,49,49,48,,,,,,36,0.999998671,752224.1705,2,5.876347573
2,2,130,230,48,49,49,49,,,,,,36,0.99999897,971193.8746,3,5.987306158
2,2,130,230,49,48,48,49,,,,,,36,0.999998471,653854.933,2,5.815481737
2,2,130,230,49,49,48,49,,,,,,36,0.99999907,1075488.04,3,6.031605787
2,2,130,230,49,48,49,49,,,,,,36,0.99999857,699505.6486,3,5.844791536
2,2,130,230,49,49,49,48,,,,,,36,0.99999887,885166.7524,3,5.947025338
2,2,130,230,49,49,49,49,,,,,,36,0.99999917,1204818.865,4,6.080921939
2,2,130,330,48,49,49,49,,,,,,41,0.99999911,1123809.666,3,6.050692956
2,2,130,330,49,48,48,49,,,,,,41,0.99999881,840604.0416,2,5.924591732
2,2,130,330,49,49,48,49,,,,,,41,0.99999911,1123809.666,3,6.050692956
2,2,130,330,49,48,49,49,,,,,,41,0.99999891,917607.4793,3,5.962657181
2,2,130,330,49,49,49,49,,,,,,41,0.99999921,1265822.333,4,6.102372925
2,2,220,110,48,49,49,49,,,,,,18,0.999997002,333555.2038,3,5.523168372
2,2,220,110,49,48,48,49,,,,,,18,0.999996004,250249.6876,2,5.398374412
2,2,220,110,49,49,48,49,,,,,,18,0.999997002,333555.2038,3,5.523168372
2,2,220,110,49,48,49,49,,,,,,18,0.999997002,333555.2038,3,5.523168371
2,2,220,110,49,49,49,49,,,,,,18,0.999998,499999.7501,4,5.698970222
2,2,220,120,48,49,49,48,,,,,,29,0.999997202,357423.139,2,5.553183272
2,2,220,120,48,49,49,49,,,,,,29,0.999997601,416909.3641,3,5.620042171
2,2,220,120,49,48,48,49,,,,,,29,0.999997202,357423.1389,2,5.553183272
2,2,220,120,49,49,48,49,,,,,,29,0.999998201,555802.079,3,5.744920558
2,2,220,120,49,48,49,49,,,,,,29,0.999997601,416909.3641,3,5.620042171
2,2,220,120,49,49,49,48,,,,,,29,0.999998201,555802.0791,3,5.744920558
2,2,220,120,49,49,49,49,,,,,,29,0.9999986,714285.4185,4,5.853872089
2,2,220,130,48,49,49,48,,,,,,34,0.999997602,416944.095,2,5.620078348
2,2,220,130,48,49,49,49,,,,,,34,0.999997801,454793.0237,3,5.657814272
2,2,220,130,49,48,48,49,,,,,,34,0.999997602,416944.095,2,5.620078348
2,2,220,130,49,49,48,49,,,,,,34,0.9999986,714489.3541,3,5.853996066
2,2,220,130,49,48,49,49,,,,,,34,0.999997801,454793.0237,3,5.657814272
2,2,220,130,49,49,49,48,,,,,,34,0.9999986,714489.3541,3,5.853996066
2,2,220,130,49,49,49,49,,,,,,34,0.9999988,833332.9719,4,5.920818826
2,2,220,220,48,49,49,49,,,,,,22,0.999998441,641255.3355,3,5.80703133
2,2,220,220,49,48,48,49,,,,,,22,0.999998041,510495.2518,2,5.707992132
2,2,220,220,49,49,48,49,,,,,,22,0.999998441,641255.3356,3,5.80703133
2,2,220,220,49,48,49,49,,,,,,22,0.999998441,641255.3355,3,5.80703133
2,2,220,220,49,49,49,49,,,,,,22,0.99999884,862068.5845,4,5.935542071
2,2,220,230,48,49,49,48,,,,,,36,0.999998321,595506.9632,2,5.774887209
2,2,220,230,48,49,49,49,,,,,,36,0.99999852,675894.3849,3,5.82987916
2,2,220,230,49,48,48,49,,,,,,36,0.999998321,595506.9632,2,5.774887209
2,2,220,230,49,49,48,49,,,,,,36,0.99999872,781420.4357,3,5.892885043
2,2,220,230,49,48,49,49,,,,,,36,0.99999852,675894.3848,3,5.82987916
2,2,220,230,49,49,49,48,,,,,,36,0.99999872,781420.436,3,5.892885043
2,2,220,230,49,49,49,49,,,,,,36,0.99999892,925925.4948,4,5.966576277
2,2,220,330,48,49,49,49,,,,,,32,0.99999876,806607.2305,3,5.90666238
2,2,220,330,49,48,48,49,,,,,,32,0.99999856,694675.4838,2,5.841782285
2,2,220,330,49,49,48,49,,,,,,32,0.99999876,806607.2305,3,5.90666238
2,2,220,330,49,48,49,49,,,,,,32,0.99999876,806607.2306,3,5.90666238
2,2,220,330,49,49,49,49,,,,,,32,0.99999896,961537.9982,4,5.982966677
2,2,230,110,48,49,49,49,,,,,,30,0.999998001,500249.6251,3,5.699187206
2,2,230,110,49,48,48,49,,,,,,30,0.999997002,333610.7871,2,5.523240736
2,2,230,110,49,49,48,49,,,,,,30,0.999998001,500249.6251,3,5.699187206
2,2,230,110,49,48,49,49,,,,,,30,0.999997502,400239.6441,3,5.602320646
2,2,230,110,49,49,49,49,,,,,,30,0.9999985,666666.3891,4,5.823908886
2,2,230,120,48,49,49,48,,,,,,32,0.999998201,555956.5183,2,5.745041217
2,2,230,120,48,49,49,49,,,,,,32,0.999998601,714642.5358,3,5.854089166
2,2,230,120,49,48,48,49,,,,,,32,0.999997901,476484.8979,2,5.678049596
2,2,230,120,49,49,48,49,,,,,,32,0.9999989,909421.1081,3,5.958765269
2,2,230,120,49,48,49,49,,,,,,32,0.999998101,526564.715,3,5.721452166
2,2,230,120,49,49,49,48,,,,,,32,0.999998701,769585.4629,3,5.886257138
2,2,230,120,49,49,49,49,,,,,,32,0.9999991,1111110.859,4,6.045757587
2,2,230,130,48,49,49,48,,,,,,37,0.999998601,714744.6423,2,5.854151212
2,2,230,130,48,49,49,49,,,,,,37,0.999998801,833749.7085,3,5.921035956
2,2,230,130,49,48,48,49,,,,,,37,0.999998201,555832.9414,2,5.744944672
2,2,230,130,49,49,48,49,,,,,,37,0.9999992,1250312.078,3,6.0970186
2,2,230,130,49,48,49,49,,,,,,37,0.999998301,588477.1084,3,5.769729943
2,2,230,130,49,49,49,48,,,,,,37,0.9999991,1111481.105,3,6.04590228
2,2,230,130,49,49,49,49,,,,,,37,0.9999993,1428571.133,4,6.154902022
2,2,230,220,48,49,49,49,,,,,,34,0.99999914,1163168.904,3,6.06564297
2,2,230,220,49,48,48,49,,,,,,34,0.999998741,794053.5723,2,5.899850077
2,2,230,220,49,49,48,49,,,,,,34,0.99999914,1163168.904,3,6.06564297
2,2,230,220,49,48,49,49,,,,,,34,0.99999894,943716.2341,3,5.974841656
2,2,230,220,49,49,49,49,,,,,,34,0.99999934,1515151.2,4,6.180456117
2,2,230,230,48,49,49,48,,,,,,39,0.99999902,1020845.127,2,6.008960073
2,2,230,230,48,49,49,49,,,,,,39,0.99999922,1282445.38,3,6.108039047
2,2,230,230,49,48,48,49,,,,,,39,0.99999892,926285.6142,2,5.966745154
2,2,230,230,49,49,48,49,,,,,,39,0.99999932,1470890.566,3,6.16758051
2,2,230,230,49,48,49,49,,,,,,39,0.99999902,1020699.292,3,6.008898026
2,2,230,230,49,49,49,48,,,,,,39,0.99999922,1282346.709,3,6.108005631
2,2,230,230,49,49,49,49,,,,,,39,0.99999942,1724137.549,4,6.236572036
2,2,230,330,48,49,49,49,,,,,,44,0.99999936,1562792.524,3,6.193901464
2,2,230,330,49,48,48,49,,,,,,44,0.99999916,1190844.257,2,6.075855149
2,2,230,330,49,49,48,49,,,,,,44,0.99999936,1562792.524,3,6.193901464
2,2,230,330,49,48,49,49,,,,,,44,0.99999926,1351606.561,3,6.130850452
2,2,230,330,49,49,49,49,,,,,,44,0.99999946,1851851.421,4,6.267606256
2,2,330,110,48,49,49,49,,,,,,24,0.999998251,571673.0744,3,5.757148117
2,2,330,110,49,48,48,49,,,,,,24,0.999997751,444740.3889,2,5.64810706
2,2,330,110,49,49,48,49,,,,,,24,0.999998251,571673.0744,3,5.757148117
2,2,330,110,49,48,49,49,,,,,,24,0.999998251,571673.0744,3,5.757148117
2,2,330,110,49,49,49,49,,,,,,24,0.99999875,799999.66,4,5.903090074
2,2,330,120,48,49,49,48,,,,,,35,0.999998651,741151.9371,2,5.869907541
2,2,330,120,48,49,49,49,,,,,,35,0.99999885,869905.1151,3,5.939472134
2,2,330,120,49,48,48,49,,,,,,35,0.999998651,741151.9371,2,5.869907541
2,2,330,120,49,49,48,49,,,,,,35,0.99999915,1176885.46,3,6.070734382
2,2,330,120,49,48,49,49,,,,,,35,0.99999885,869905.1152,3,5.939472134
2,2,330,120,49,49,49,48,,,,,,35,0.99999915,1176885.459,3,6.070734382
2,2,330,120,49,49,49,49,,,,,,35,0.99999935,1538461.275,4,6.18708671
2,2,330,130,48,49,49,48,,,,,,40,0.99999895,952834.1378,2,5.979017536
2,2,330,130,48,49,49,49,,,,,,40,0.99999905,1053019.034,3,6.022436427
2,2,330,130,49,48,48,49,,,,,,40,0.99999895,952834.1378,2,5.979017536
2,2,330,130,49,49,48,49,,,,,,40,0.99999945,1818677.321,3,6.25975577
2,2,330,130,49,48,49,49,,,,,,40,0.99999905,1053019.034,3,6.022436427
2,2,330,130,49,49,49,48,,,,,,40,0.99999945,1818677.322,3,6.259755771
2,2,330,130,49,49,49,49,,,,,,40,0.99999955,2222221.97,4,6.346787535
2,2,330,220,48,49,49,49,,,,,,28,0.99999939,1639827.647,3,6.214798337
2,2,330,220,49,48,48,49,,,,,,28,0.99999919,1235116.281,2,6.091708022
2,2,330,220,49,49,48,49,,,,,,28,0.99999939,1639827.646,3,6.214798336
2,2,330,220,49,48,49,49,,,,,,28,0.99999939,1639827.646,3,6.214798336
2,2,330,220,49,49,49,49,,,,,,28,0.99999959,2439024.13,4,6.387216186
2,2,330,230,48,49,49,48,,,,,,42,0.99999937,1587880.739,2,6.200818018
2,2,330,230,48,49,49,49,,,,,,42,0.99999947,1887290.481,3,6.275838865
2,2,330,230,49,48,48,49,,,,,,42,0.99999937,1587880.739,2,6.200818018
2,2,330,230,49,49,48,49,,,,,,42,0.99999957,2326067.747,3,6.366622453
2,2,330,230,49,48,49,49,,,,,,42,0.99999947,1887290.481,3,6.275838865
2,2,330,230,49,49,49,48,,,,,,42,0.99999957,2326067.747,3,6.366622453
2,2,330,230,49,49,49,49,,,,,,42,0.99999967,3030302.712,4,6.481486086
2,2,330,330,48,49,49,49,,,,,,38,0.99999961,2564562.367,3,6.40901335
2,2,330,330,49,48,48,49,,,,,,38,0.99999951,2041399.041,2,6.309928013
2,2,330,330,49,49,48,49,,,,,,38,0.99999961,2564562.368,3,6.40901335
2,2,330,330,49,48,49,49,,,,,,38,0.99999961,2564562.368,3,6.40901335
2,2,330,330,49,49,49,49,,,,,,38,0.99999971,3448275.475,4,6.537602016
2,3,110,111,48,49,48,49,49,49,,,,15,0.999996251,266755.1919,4,5.426113695
2,3,110,111,48,49,49,49,48,49,,,,15,0.999996251,266755.1919,4,5.426113695
2,3,110,111,48,49,49,49,49,49,,,,15,0.999997748,443951.4044,5,5.647335923
2,3,110,111,49,48,48,49,48,49,,,,15,0.99999625,266648.7632,3,5.425940388
2,3,110,111,49,49,48,49,48,49,,,,15,0.999996251,266755.1919,4,5.426113695
2,3,110,111,49,48,48,49,49,49,,,,15,0.999997746,443656.6989,4,5.647047533
2,3,110,111,49,49,48,49,49,49,,,,15,0.999997748,443951.4044,5,5.647335923
2,3,110,111,49,48,49,48,48,49,,,,15,0.99999625,266648.7632,3,5.425940388
2,3,110,111,49,48,49,49,48,49,,,,15,0.999997746,443656.6989,4,5.647047533
2,3,110,111,49,49,49,49,48,49,,,,15,0.999997748,443951.4045,5,5.647335923
2,3,110,111,49,48,49,48,49,49,,,,15,0.999996251,266755.192,4,5.426113695
2,3,110,111,49,48,49,49,49,49,,,,15,0.999997748,443951.4045,5,5.647335923
2,3,110,111,49,49,49,49,49,49,,,,15,0.999997749,444246.5018,6,5.647624505
2,3,110,112,48,49,48,49,49,49,,,,26,0.999996252,266797.8299,4,5.426183107
2,3,110,112,48,49,49,48,48,49,,,,26,0.999996251,266755.2346,3,5.426113764
2,3,110,112,48,49,49,49,48,49,,,,26,0.999996252,266797.8299,4,5.426183107
2,3,110,112,48,49,49,48,49,48,,,,26,0.999997149,350754.0457,3,5.545003308
2,3,110,112,48,49,49,48,49,49,,,,26,0.999997748,443951.5227,4,5.647336039
2,3,110,112,48,49,49,49,49,49,,,,26,0.999997748,444069.5145,5,5.647451449
2,3,110,112,49,48,48,49,48,49,,,,26,0.999997149,350754.0457,3,5.545003308
2,3,110,112,49,49,48,49,48,49,,,,26,0.999997151,350938.3351,4,5.54523143
2,3,110,112,49,48,48,49,49,49,,,,26,0.999997748,443951.5227,4,5.647336039
2,3,110,112,49,49,48,49,49,49,,,,26,0.999997749,444246.7973,5,5.647624794
2,3,110,112,49,48,49,48,48,49,,,,26,0.999996251,266755.2346,3,5.426113764
2,3,110,112,49,48,49,49,48,49,,,,26,0.999997748,443951.5227,4,5.647336039
2,3,110,112,49,49,49,48,48,49,,,,26,0.999997748,444128.7113,4,5.647509339
2,3,110,112,49,49,49,49,48,49,,,,26,0.999997749,444246.7976,5,5.647624795
2,3,110,112,49,48,49,48,49,49,,,,26,0.999996252,266797.8299,4,5.426183107
2,3,110,112,49,48,49,49,49,49,,,,26,0.999997748,444069.5145,5,5.647451449
2,3,110,112,49,49,49,48,49,48,,,,26,0.999997151,350938.3351,4,5.54523143
2,3,110,112,49,49,49,48,49,49,,,,26,0.999997749,444246.7974,5,5.647624794
2,3,110,112,49,49,49,49,49,49,,,,26,0.99999775,444364.9462,6,5.647740281
2,3,110,113,48,49,48,49,49,49,,,,31,0.999996252,266812.0456,4,5.426206246
